DomesticG,PBudget,RDate,Title,WorldwideG
"$177,002,924","$145,000,000","Jun 13, 2014",How to Train Your Dragon 2,"$614,586,270"
"$171,091,819","$145,000,000","Jun 16, 1999",Tarzan,"$448,191,819"
"$111,506,430","$145,000,000","Mar 7, 2014",Mr. Peabody & Sherman,"$269,806,430"
,,,,
"$103,412,758","$145,000,000","Nov 21, 2012",Rise of the Guardians,"$306,900,902"
"$68,671,925","$145,000,000","Apr 8, 2005",Sahara,"$121,671,925"
"$128,350,574","$144,000,000","Jul 15, 2016",Ghostbusters,"$229,008,658"
"$160,942,139","$142,000,000","Nov 22, 2002",Die Another Day,"$431,942,139"
"$305,411,224","$140,000,000","Jul 9, 2003",Pirates of the Caribbean: The Curse of the Black Pearl,"$634,954,103"
"$257,730,019","$140,000,000","May 8, 2009",Star Trek,"$386,839,614"
"$201,578,182","$140,000,000","Jul 1, 1998",Armageddon,"$554,600,000"
"$190,418,803","$140,000,000","Jul 3, 2002",Men in Black 2,"$441,767,803"
"$176,654,505","$140,000,000","Jul 22, 2011",Captain America: The First Avenger,"$370,569,776"
"$143,528,619","$140,000,000","Jan 29, 2016",Kung Fu Panda 3,"$517,599,142"
"$130,444,603","$140,000,000","Jul 10, 1998",Lethal Weapon 4,"$285,400,000"
"$122,523,060","$140,000,000","Mar 27, 2013",G.I. Joe: Retaliation,"$375,740,705"
"$111,110,575","$140,000,000","Dec 5, 2003",The Last Samurai,"$456,810,575"
"$110,550,000","$140,000,000","Dec 21, 2005",Fun With Dick And Jane,"$203,018,919"
"$65,014,513","$140,000,000","Dec 12, 2014",Exodus: Gods and Kings,"$268,314,513"
"$55,483,770","$140,000,000","Jul 1, 2016",The BFG,"$199,646,680"
"$31,153,464","$140,000,000","Feb 26, 2016",Gods of Egypt,"$138,836,756"
"$403,706,375","$139,000,000","May 3, 2002",Spider-Man,"$821,706,375"
"$107,509,799","$138,000,000","Mar 6, 2009",Watchmen,"$186,976,250"
"$32,116,746","$138,000,000","Jul 29, 2005",Stealth,"$76,416,746"
"$134,806,913","$137,500,000","Jun 13, 2008",The Incredible Hulk,"$265,573,859"
"$132,177,234","$137,000,000","Jun 20, 2003",Hulk,"$245,075,434"
"$32,131,830","$137,000,000","Jul 11, 2001",Final Fantasy: The Spirits Within,"$85,131,830"
"$292,324,737","$136,200,000","Nov 16, 2012","The Twilight Saga: Breaking Dawn, Part 2","$829,724,737"
"$187,168,425","$135,000,000","Mar 22, 2013",The Croods,"$573,068,425"
"$183,637,894","$135,000,000","Dec 25, 2015",The Revenant,"$532,938,302"
"$126,930,660","$135,000,000","Nov 19, 1999",The World is Not Enough,"$361,730,660"
"$123,477,607","$135,000,000","Mar 4, 2011",Rango,"$245,724,600"
"$93,926,386","$135,000,000","Nov 14, 2003",Master and Commander: The Far Side of the World,"$212,912,137"
"$83,028,130","$135,000,000","Jul 17, 2013",Turbo,"$286,896,578"
"$82,051,601","$135,000,000","Jun 3, 2016",Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,328,374"
"$64,006,466","$135,000,000","Nov 18, 2011",Happy Feet Two,"$157,956,466"
"$63,478,838","$135,000,000","Jul 28, 2006",Miami Vice,"$163,818,556"
